Pax,Check In,Check Out,Place,Web,Ratings,Name Hotel,Price(Rm)
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Tune Hotel KLIA-KLIA2  ,354.555
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,The Nomad Bangsar Serviced Residences  ,358.875
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Swiss-Garden Hotel Bukit Bintang Kuala Lumpur  ,360.245
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Novotel Kuala Lumpur City Centre  ,362.36
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Wolo Kuala Lumpur  ,364.12
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Corus Hotel Kuala Lumpur  ,378.54
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Concorde Hotel Kuala Lumpur  ,386.965
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Avante Hotel  ,387.62
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Ascott Sentral Kuala Lumpur  ,415.67
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,"Hyatt House Kuala Lumpur, Mont Kiara  ",429.785
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Ansa Kuala Lumpur  ,440.485
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,SOMERSET DAMANSARA UPTOWN PETALING JAYA  ,450.915
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Amari Kuala Lumpur  ,484.655
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Lanson Place Bukit Ceylon Serviced Residences  ,513.38
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,The Kuala Lumpur Journal  ,564.53
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Impiana KLCC Hotel  ,606.305
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Capri by Fraser Bukit Bintang  ,624.72
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Wedgewood Residences Mont Kiara  ,636.195
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Ami Suites  ,656.705
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Dorsett Residences Bukit Bintang  ,721.445
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Sunway Pyramid Hotel  ,762.48
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,The RuMa Hotel and Residences  ,990.72
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Upper View Regalia Hotel  ,198.16
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,4,Shah Alam Business Hotel  ,63.84
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,6,Sandpiper Hotel Kuala Lumpur  ,78.76
