Pax,Check In,Check Out,Place,Web,Name Hotel,Price(Rm),Ratings
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Renaissance Kuala Lumpur Hotel & Convention Centre,540,8.6
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Space Hotel,109,9.0
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Hyatt Place Kuala Lumpur Bukit Jalil,323,9.6
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Courtyard by Marriott Kuala Lumpur South,350,9.2
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Element Kuala Lumpur,480,9.2
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,UNA Sunway Velocity by Unimax,214,9.8
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Ceylonz Seasonal Suites,210,9.0
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Ascott Star KLCC Kuala Lumpur,720,9.4
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Koptown EDC Hotel Kuala Lumpur,,7.4
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,ibis Styles Kuala Lumpur Fraser Business Park,161,7.8
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Sofitel Kuala Lumpur Damansara,720,8.6
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Ascott Sentral Kuala Lumpur,330,9.0
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,MiCasa All Suite Hotel,292,9.0
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,The Kuala Lumpur Journal,479,8.8
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Amari Kuala Lumpur,405,9.0
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Pavilion Hotel Kuala Lumpur Managed by Banyan Tree,703,9.2
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,MOV Hotel Kuala Lumpur,212,8.4
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia, INNSiDE by Meliá Kuala Lumpur Cheras,270,8.4
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Melia Kuala Lumpur,298,8.4
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Ramada Suites by Wyndham Kuala Lumpur City Centre,258,8.4
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Soho Suites KLCC LX Stay,280,9.2
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,"Four Points by Sheraton Kuala Lumpur, Chinatown",360,9.4
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Pan Pacific Serviced Suites Kuala Lumpur,747,9.2
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Sheraton Imperial Kuala Lumpur Hotel,600,8.4
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,The RuMa Hotel and Residences,843,9.6
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Victory suites ,448,9.0
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,St. Giles Boulevard Hotel,303,8.4
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Sunway Velocity Hotel Kuala Lumpur,289,8.8
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,J-Hotel by Dorsett,179,8.4
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Hotel Grand Continental Kuala Lumpur,167,7.0
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Cubic Botanical Suites HomeBrickz,,
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Impiana KLCC Hotel,475,8.4
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,"ViiA Residences in KL Eco City, Five Senses",365,9.0
