Pax,Check In,Check Out,Place,Web,Name Hotel,Price(Rm),Ratings
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,188 Suites KLCC by CoBNB,161.0,8.5
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Vortex Suites KLCC by BlackNest,196.0,8.5
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Bell Suite @ Sepang KLIA Kota Warisan,80.0,8.4
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Arte Cheras The Premium Suites by iLuxHome,145.0,8.8
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,H20 Residence at Ara Damansara,175.0,7.7
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,The Platinum Suites at KLCC by Veedu Hauz,235.0,8.8
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Manatidur@THE HUB SS2,110.0,8.4
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,The Colony Infinitum by Awesome Stay,104.0,5.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,The Colony and The Luxe Premier Suites Kuala Lumpur,92.0,7.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Core Soho Suite by BKA STAYCATION #KLIA1 #KLIA2,85.0,8.3
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"EVO Soho Suites, Bangi",128.0,8.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Vista Bangi / Kajang / UKM / MRT 5 As HomeA,65.0,9.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Arte Mont Kiara Luxury Suite,150.0,8.3
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Ceylonz Suites by Perfect Host,123.0,8.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Central Residence  Homestay @ Kuala Lumpur,91.0,9.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Setapak Central Studio Suites by Manhattan Group,194.0,8.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Alanis Suite With Netflix @ KLIA Sepang,213.0,8.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Flexus Signature Suites by Widebed,120.0,8.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Lila Suites Quill Residence klcc,121.0,8.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"Arte Cheras by BlueBanana, Kuala Lumpur",371.0,8.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Menara PGRM By Minsu,116.0,6.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,EVO Soho Suites Bangi by Wido with Parking Netflix,113.0,8.5
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Soho Suites @ KLCC by Luxury Suites Asia,145.0,8.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Hotel Rim Global Subang,38.0,6.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Neu Suites Jalan Ampang @ KL,88.0,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Shaftsbury Cyberjaya by IdealHub,132.0,8.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"Liberty Homestay 3 @Near Bukit Jalil, Kuala Lumpur",69.0,9.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Scarletz Suites by Edenzpace @ KLCC Area,171.0,8.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Lila Suites One Bukit Ceylon,109.0,8.5
